score,rewards,episode_time,episode_length
0,0.0,0.02055730001302436,20
0,0.0,0.019891599949914962,20
0,0.0,0.024253399984445423,20
0,0.0,0.02360180002870038,20
0,0.0,0.02219000004697591,20
0,0.0,0.019518300017807633,20
0,0.0,0.021997799980454147,20
0,0.0,0.021599199972115457,20
0,-2.0,0.02091600000858307,20
0,0.0,0.020452799974009395,20
0,-1.0,0.019921300001442432,20
0,0.0,0.024751299992203712,20
0,0.0,0.020151000004261732,20
0,0.0,0.02107310004066676,20
0,0.0,0.029280100017786026,20
0,0.0,0.020251599955372512,20
0,0.0,0.022384700016118586,20
0,0.0,0.0550984000437893,1
0,-3.0,0.02128060004906729,20
0,0.0,0.020704700029455125,20
0,0.0,0.020773199968971312,20
0,0.0,0.025793700013309717,20
0,0.0,0.020026199985295534,20
0,0.0,0.02170699997805059,20
0,0.0,0.031367799965664744,20
0,0.0,0.01865660003386438,20
0,0.0,0.02132320002419874,20
0,0.0,0.028543699998408556,20
0,0.0,0.01930109999375418,20
0,0.0,0.049369400017894804,20
0,0.0,0.025851299986243248,20
0,0.0,0.020980099972803146,20
0,0.0,0.02434890001313761,20
0,0.0,0.02312909997999668,20
0,0.0,0.030468599987216294,20
0,0.0,0.016907099983654916,20
0,0.0,0.016418999992311,20
0,0.0,0.02076589997159317,20
0,0.0,0.021642200008500367,20
0,0.0,0.018678199965506792,20
0,0.0,0.28221159998793155,20
0,0.0,0.020479200000409037,20
0,0.0,0.02828710002359003,20
0,0.0,0.02151900000171736,20
0,0.0,0.028645000013057142,20
0,0.0,0.019466199970338494,20
0,0.0,0.020706599985715002,20
0,0.0,0.021271999983582646,20
0,0.0,0.021255899977404624,20
0,-2.0,0.021874999976716936,20
0,0.0,0.021017100021708757,20
0,0.0,0.05427379999309778,20
0,0.0,0.021291600016411394,20
0,0.0,0.020234900002833456,20
0,0.0,0.020950599981006235,20
0,0.0,0.021464699995703995,20
0,0.0,0.015292600030079484,3
0,0.0,0.022787699999753386,20
0,0.0,0.0219603999867104,20
0,0.0,0.020628999976906925,20
0,0.0,0.016305400000419468,20
0,0.0,0.020893899956718087,20
0,0.0,0.022976299980655313,20
0,0.0,0.02088319999165833,20
0,0.0,0.016701599990483373,20
0,0.0,0.027225299971178174,20
0,0.0,0.021380400052294135,20
0,0.0,0.016330600017681718,20
0,0.0,0.020256999996490777,20
0,-2.0,0.019428499974310398,20
0,0.0,0.020943199982866645,20
0,0.0,0.02061509998748079,20
0,0.0,0.019430600048508495,20
0,0.0,0.0179140999680385,20
0,0.0,0.021035399986431003,20
0,0.0,0.03223509999224916,20
0,0.0,0.02298430004157126,20
0,0.0,0.021029600000474602,20
0,0.0,0.01935700001195073,20
0,0.0,0.03610530000878498,20
0,0.0,0.020698799984529614,20
0,0.0,0.023570600023958832,20
0,0.0,0.01962959999218583,20
0,0.0,0.015788299962878227,20
0,0.0,0.02270560001488775,20
0,0.0,0.020950099977198988,20
0,0.0,0.04643040004884824,20
0,0.0,0.018372999969869852,20
0,0.0,0.021814599982462823,20
0,-3.0,0.016092299949377775,20
0,0.0,0.028317500022239983,9
0,0.0,0.022782200016081333,20
0,0.0,0.02465699997264892,20
0,0.0,0.03515449998667464,16
0,0.0,0.01505749998614192,17
0,0.0,0.017330800008494407,19
0,0.0,0.03377169999293983,20
0,0.0,0.019867900002282113,20
0,0.0,0.023325800022576004,20
0,0.0,0.020935500040650368,20
0,0.0,0.027007900003809482,20
0,0.0,0.014581200026441365,20
0,0.0,0.022510599985253066,20
0,0.0,0.02982439997140318,20
0,0.0,0.02065370004856959,20
0,0.0,0.02227899996796623,20
0,0.0,0.024181799963116646,20
0,0.0,0.022339200018905103,20
0,0.0,0.03233560000080615,20
0,0.0,0.01986400003079325,20
0,0.0,0.020854300004430115,20
0,0.0,0.023728600004687905,20
0,0.0,0.02350269997259602,20
0,0.0,0.02463770000031218,20
0,0.0,0.021067399997264147,20
0,0.0,0.027538099966477603,20
0,0.0,0.021195399982389063,20
0,0.0,0.02364480000687763,20
0,0.0,0.02380499994615093,20
0,0.0,0.020440699998289347,20
0,0.0,0.037916300003416836,20
0,0.0,0.01944589999038726,20
0,0.0,0.022949100006371737,20
0,0.0,0.02132759999949485,20
0,0.0,0.020035099994856864,20
0,0.0,0.020523699990008026,20
0,0.0,0.021735500020440668,20
0,0.0,0.023044399975333363,20
0,0.0,0.022557999996934086,20
0,0.0,0.020768799993675202,20
0,0.0,0.018358799978159368,20
0,0.0,0.021543099952396005,20
0,0.0,0.022564399987459183,20
0,0.0,0.024356699956115335,20
0,0.0,0.0207067999872379,20
0,0.0,0.020032500033266842,20
0,0.0,0.025438200042117387,20
0,0.0,0.023710599984042346,20
0,0.0,0.025244700023904443,20
0,0.0,0.020558399963192642,20
0,0.0,0.020492899988312274,20
0,0.0,0.021472199994605035,20
0,0.0,0.015075599949341267,3
0,0.0,0.02550889999838546,20
0,0.0,0.02132780000101775,20
0,0.0,0.020031800027936697,20
0,0.0,0.018457600031979382,20
0,0.0,0.022685599979013205,20
0,0.0,0.03095970000140369,6
0,0.0,0.019110499997623265,20
0,0.0,0.016328500001691282,10
0,0.0,0.022737200022675097,20
0,0.0,0.021811100014019758,20
0,0.0,0.037634800013620406,20
0,0.0,0.027963200001977384,20
0,0.0,0.021211099985521287,20
0,-3.0,0.01844889996573329,20
0,0.0,0.020657099958043545,20
0,0.0,0.0258196999784559,20
0,0.0,0.01814810000360012,20
0,0.0,0.035858700051903725,20
0,0.0,0.02123130002291873,20
0,0.0,0.023401100013870746,20
0,0.0,0.022559600009117275,20
0,0.0,0.02507329999934882,20
0,0.0,0.018611400038935244,20
0,0.0,0.02036729996325448,20
0,0.0,0.016523300029803067,20
0,0.0,0.02295890002278611,20
0,0.0,0.01894819998415187,20
0,0.0,0.017359099991153926,20
0,0.0,0.020965299976523966,20
0,0.0,0.023344699991866946,20
0,0.0,0.02060480002546683,20
0,0.0,0.027432399976532906,5
0,0.0,0.020966499985661358,20
0,0.0,0.02141809999011457,20
0,0.0,0.020996099978219718,20
0,0.0,0.017520499997772276,20
0,0.0,0.027501000033225864,20
0,0.0,0.020226199994795024,20
0,0.0,0.020141499990131706,20
0,0.0,0.020873800036497414,20
0,0.0,0.016045500000473112,14
0,0.0,0.0331296999938786,20
0,0.0,0.022454599966295063,20
0,0.0,0.03338679997250438,20
