score,rewards,episode_time,episode_length
0,0.0,0.018669899960514158,20
0,0.0,0.05675849999533966,20
0,0.0,0.0228905999683775,20
0,0.0,0.01779969997005537,20
0,0.0,0.020205099950544536,20
0,0.0,0.021230700018350035,20
0,0.0,0.020576799986883998,20
0,0.0,0.04766520002158359,20
0,0.0,0.022227599984034896,20
0,0.0,0.018015899986494333,20
0,0.0,0.023255800013430417,20
0,0.0,0.015597600024193525,20
0,0.0,0.01549749996047467,20
0,0.0,0.029318600019905716,20
0,0.0,0.021165099984500557,20
0,0.0,0.020047199970576912,20
0,0.0,0.018830300017725676,20
0,0.0,0.014614299987442791,20
0,0.0,0.0266078999848105,20
0,0.0,0.02729740005452186,20
0,0.0,0.01880439999513328,20
0,0.0,0.02657549997093156,20
0,0.0,0.017722500022500753,20
0,0.0,0.0197941999649629,20
0,-2.0,0.019698199990671128,20
0,0.0,0.01960010000038892,20
0,0.0,0.015081499994266778,20
0,0.0,0.015600299986544997,20
0,0.0,0.020484299981035292,20
0,0.0,0.02156790002482012,20
0,0.0,0.016539999982342124,20
0,-2.0,0.016099500004202127,20
0,-2.0,0.01979140000184998,20
0,0.0,0.01603679999243468,20
0,0.0,0.018553400004748255,20
0,0.0,0.0199748000013642,20
0,0.0,0.03282679995754734,20
0,0.0,0.027566100005060434,20
0,0.0,0.03375870001036674,20
0,0.0,0.030289500020444393,20
0,0.0,0.018267499981448054,20
0,0.0,0.02686159999575466,20
0,0.0,0.060814699972979724,2
0,0.0,0.03683410002849996,20
0,0.0,0.03145640000002459,20
0,0.0,0.038151899992953986,20
0,0.0,0.0312749000149779,20
0,0.0,0.015971099957823753,20
0,0.0,0.024008599983062595,20
0,0.0,0.12816159997601062,20
0,0.0,0.027681900013703853,20
0,0.0,0.02418409998062998,20
0,0.0,0.0192312000435777,20
0,0.0,0.025744899990968406,20
0,0.0,0.024165600014384836,20
0,0.0,0.017063799954485148,1
0,0.0,0.014100999978836626,16
0,0.0,0.016069000004790723,20
