lines,score,rewards,block_placed,episode_time,episode_length
0,0,-19.0,15,12.835343200014904,282
0,0,-20.0,18,16.320831800054293,341
0,0,-20.0,20,16.120842600008473,356
0,0,-20.0,20,13.107519900018815,361
0,0,-19.0,13,10.422541000007186,231
0,0,-20.0,14,11.619357599993236,243
0,0,-20.0,19,15.923893600003794,333
0,0,-20.0,18,11.776881999976467,343
0,0,-20.0,16,12.912471499992535,287
0,0,-20.0,17,13.889765300031286,313
0,0,-20.0,14,8.642116900009569,254
0,0,-19.0,22,18.70492520002881,405
0,0,-20.0,17,13.457088500028476,309
0,0,-19.0,16,13.459954399964772,306
0,0,-20.0,20,12.723555899981875,367
0,0,-20.0,20,16.382648900034837,366
0,0,-20.0,18,13.657823399989866,319
0,0,-19.0,16,10.530689999985043,302
0,0,-20.0,21,16.7878839999903,370
0,0,-20.0,10,5.40613509999821,164
0,0,-20.0,18,14.467049100028817,322
0,0,-20.0,15,11.945794299943373,268
0,0,-20.0,13,9.960785700008273,240
0,0,-20.0,14,10.953136100026313,249
0,0,-20.0,25,16.368130300019402,456
0,0,-20.0,17,13.446768899972085,298
0,0,-19.0,13,11.246375999995507,252
0,0,-20.0,12,6.498142099997494,199
0,0,-20.0,16,12.415222099982202,284
0,0,-20.0,20,16.603968299983535,369
0,0,-20.0,18,14.897575599956326,327
0,0,-20.0,22,14.320005899993703,398
0,0,-20.0,19,16.245279100025073,356
0,0,-20.0,15,11.66179539996665,265
0,0,-19.0,14,9.24483889999101,263
0,0,-19.0,15,12.934510399994906,281
0,0,-19.0,10,6.400014699960593,168
0,0,-19.0,13,8.737953000003472,218
0,0,-20.0,13,10.051271000003908,239
0,0,-19.0,25,15.910987399984151,456
0,0,-20.0,14,11.127422899997327,253
0,0,-19.0,15,11.096885000006296,260
0,0,-20.0,16,12.806730500014964,293
0,0,-19.0,18,11.939820200030226,344
0,0,-20.0,14,10.485462600016035,243
0,0,-20.0,17,13.173947200004477,299
0,0,-20.0,19,15.987408299988601,348
0,0,-20.0,17,10.543583199963905,306
0,0,-20.0,14,10.710533300007228,241
0,0,-20.0,12,8.936914300022181,210
0,0,-20.0,13,9.461412800010294,221
0,0,-20.0,20,12.313626700022724,358
0,0,-20.0,15,11.49800130003132,265
0,0,-19.0,15,12.382546900014859,281
0,0,-20.0,18,10.896678300050553,318
0,0,-20.0,20,15.694487300002947,350
0,0,-20.0,15,10.746714900014922,242
0,0,-20.0,15,11.341094799980056,260
0,0,-20.0,20,12.333907799969893,359
0,0,-19.0,15,11.656608299992513,272
0,0,-20.0,16,13.322872299992014,285
0,0,-20.0,17,14.218418699980248,315
0,0,-19.0,13,8.169508300023153,226
0,0,-19.0,13,10.685097699984908,234
0,0,-20.0,16,9.850096700014547,283
0,0,-20.0,15,11.747403400018811,275
0,0,-20.0,11,7.962043099978473,195
0,0,-20.0,18,14.08259420003742,317
0,0,-20.0,10,6.75709079997614,173
0,0,-20.0,16,10.046904899994843,290
0,0,-20.0,14,10.556821600010153,244
0,0,-20.0,18,11.77455029997509,330
0,0,-20.0,22,18.80862959998194,410
0,0,-20.0,15,12.545288200024515,268
0,0,-20.0,22,17.517491600010544,373
0,0,-20.0,15,9.047965599980671,264
0,0,-20.0,13,9.384055500035174,223
0,0,-20.0,15,12.718678399978671,287
0,0,-20.0,14,10.285324399999809,234
0,0,-20.0,12,7.946830899978522,198
0,0,-19.0,19,12.487016799976118,356
0,0,-20.0,15,12.161081900005229,270
0,0,-20.0,12,6.792280399997253,198
0,0,-20.0,22,18.319379799999297,402
0,0,-20.0,17,14.717403899994679,324
0,0,-19.0,16,9.665113500028383,278
0,0,-19.0,11,8.118767600040883,186
0,0,-20.0,19,14.76903929997934,331
0,0,-20.0,13,7.562350200023502,224
0,0,-20.0,18,14.581044599995948,322
1,800,779.0,15,13.34976650000317,300
0,0,-20.0,14,8.498384499980602,243
