lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,19,144.349022,4470
0,0,0.0,22,185.77319,5456
0,0,0.0,30,225.413622,6469
0,0,0.0,22,170.601489,4923
0,0,0.0,21,185.868324,5339
0,0,0.0,19,129.162139,3936
0,0,0.0,28,189.86824,5494
0,0,0.0,20,170.338086,4989
0,0,0.0,20,152.960793,4583
0,0,0.0,26,209.07633,5985
0,0,0.0,24,161.551295,4837
0,0,0.0,20,151.363831,4574
0,0,0.0,27,193.961623,5566
0,0,0.0,18,156.078385,4714
0,0,0.0,21,164.690691,4892
0,0,0.0,17,129.9822,4024
0,0,0.0,20,178.245781,5245
0,0,0.0,17,131.597231,4088
0,0,0.0,18,128.664672,3990
0,0,0.0,24,216.7579,6027
0,0,0.0,26,170.925966,4940
0,0,0.0,22,184.25393,5264
0,0,0.0,23,167.241759,4867
0,0,0.0,17,124.923516,3833
0,0,0.0,26,214.257319,5964
0,0,0.0,24,169.532964,4901
0,0,0.0,18,156.527767,4524
0,0,0.0,27,251.490289,6547
0,0,0.0,26,188.631003,5451
1,80,80.0,23,162.728019,4751
