lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,18,15.641993,493
0,0,0.0,23,21.821398,695
0,0,0.0,17,15.541644,497
0,0,0.0,23,20.271746,650
0,0,0.0,16,13.628598,440
0,0,0.0,20,17.823854,575
0,0,0.0,24,19.691669,655
0,0,0.0,17,16.869965,538
0,0,0.0,15,14.012157,455
0,0,0.0,17,15.265805,501
0,0,0.0,16,15.21475,480
0,0,0.0,18,15.708598,509
0,0,0.0,23,21.929187,701
0,0,0.0,22,20.229891,656
0,0,0.0,14,12.747501,400
0,0,0.0,23,20.472782,655
0,0,0.0,27,23.133673,746
0,0,0.0,18,17.910318,540
0,0,0.0,19,19.797999,581
0,0,0.0,14,16.567449,414
0,0,0.0,21,20.793725,599
0,0,0.0,27,23.823782,779
0,0,0.0,18,18.117731,574
0,0,0.0,23,20.726746,659
0,0,0.0,19,18.279484,578
0,0,0.0,19,16.765032,542
0,0,0.0,28,26.378502,858
0,0,0.0,21,19.752394,627
0,0,0.0,21,18.786171,602
0,0,0.0,20,18.860848,601
