lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,21,16.338524,520
0,0,0.0,19,13.611766,434
0,0,0.0,21,15.214976,483
0,0,0.0,18,13.862445,449
0,0,0.0,21,16.114932,516
0,0,0.0,17,12.629717,401
0,0,0.0,22,16.193592,515
0,0,0.0,20,15.089113,469
0,0,0.0,19,14.647018,460
0,0,0.0,22,15.716506,510
0,0,0.0,19,14.118798,468
0,0,0.0,19,14.880416,479
0,0,0.0,15,10.642632,351
0,0,0.0,20,15.117847,487
0,0,0.0,23,15.782503,520
0,0,0.0,21,15.258904,499
0,0,0.0,19,12.909473,426
0,0,0.0,15,10.718536,351
0,0,0.0,19,13.683192,449
0,0,0.0,17,12.482506,404
0,0,0.0,21,14.503746,473
0,0,0.0,19,14.613687,472
0,0,0.0,18,12.933338,421
0,0,0.0,18,13.830601,441
0,0,0.0,18,12.463041,410
0,0,0.0,20,15.427153,502
0,0,0.0,24,16.331911,532
0,0,0.0,22,16.258563,528
0,0,0.0,23,18.175332,584
0,0,0.0,21,14.923426,491
