lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,25,22.305982,715
0,0,0.0,24,22.544819,712
0,0,0.0,23,22.66016,715
0,0,0.0,18,16.252275,521
0,0,0.0,21,19.211966,621
0,0,0.0,22,21.001887,662
0,0,0.0,21,17.638433,562
0,0,0.0,14,13.473752,422
0,0,0.0,15,13.0691,421
0,0,0.0,27,24.969463,803
0,0,0.0,18,15.887973,506
0,0,0.0,14,12.538361,398
0,0,0.0,23,21.617979,686
0,0,0.0,21,19.212169,617
0,0,0.0,18,16.449786,527
0,0,0.0,19,18.225701,586
0,0,0.0,16,14.339273,452
0,0,0.0,24,23.96688,759
0,0,0.0,13,12.312292,383
0,0,0.0,20,17.470782,561
0,0,0.0,21,18.344704,583
0,0,0.0,15,11.777762,383
0,0,0.0,17,16.563832,523
0,0,0.0,18,15.607648,513
0,0,0.0,21,19.226319,621
0,0,0.0,20,17.294191,551
0,0,0.0,21,18.108103,586
0,0,0.0,21,19.776077,627
0,0,0.0,22,19.266562,620
0,0,0.0,23,22.1345,704
