lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,18,12.833975,421
0,0,0.0,19,13.696915,450
0,0,0.0,17,12.143452,407
0,0,0.0,18,13.049079,423
0,0,0.0,14,9.402207,330
0,0,0.0,17,11.822418,403
0,0,0.0,19,14.597361,473
0,0,0.0,24,16.582687,584
0,0,0.0,19,13.159674,447
0,0,0.0,18,13.792485,451
0,0,0.0,21,15.134177,511
0,0,0.0,17,12.071025,397
0,0,0.0,22,14.804594,501
0,0,0.0,18,11.639921,392
0,0,0.0,16,11.747339,378
0,0,0.0,16,11.740227,386
0,0,0.0,20,14.35208,477
0,0,0.0,22,16.004264,531
0,0,0.0,20,14.412065,477
0,0,0.0,21,14.847445,513
0,0,0.0,18,12.584053,417
0,0,0.0,12,7.960019,263
0,0,0.0,19,13.704104,458
0,0,0.0,18,13.503123,441
0,0,0.0,13,9.323168,323
0,0,0.0,22,15.458191,516
0,0,0.0,17,12.831651,423
0,0,0.0,18,13.579597,449
0,0,0.0,24,17.952291,587
0,0,0.0,19,13.938573,467
