lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,23,89.59985,3160
0,0,0.0,17,86.792362,2838
0,0,0.0,13,65.384104,2099
0,0,0.0,14,59.475711,2091
0,0,0.0,21,119.482055,3661
0,0,0.0,22,121.700504,3748
0,0,0.0,22,116.069327,3548
0,0,0.0,20,91.147501,2992
0,0,0.0,18,81.114338,2739
0,0,0.0,15,71.258499,2379
0,0,0.0,24,124.044668,3718
0,0,0.0,25,131.129085,3701
0,0,0.0,24,119.206006,3608
0,0,0.0,22,115.166115,3398
0,0,0.0,25,129.96294,3716
0,0,0.0,23,116.361999,3435
0,0,0.0,27,143.098256,4133
0,0,0.0,28,156.526303,4355
0,0,0.0,17,101.674724,3195
0,0,0.0,22,132.420588,3904
0,0,0.0,20,95.841303,3033
0,0,0.0,22,108.518069,3368
0,0,0.0,29,162.011573,4537
0,0,0.0,16,80.861261,2526
0,0,0.0,22,110.616062,3451
0,0,0.0,15,79.476895,2474
0,0,0.0,21,119.00285,3593
0,0,0.0,25,136.797154,3870
0,0,0.0,25,145.963106,3950
0,0,0.0,26,134.873778,3753
