lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,20,33.260079,1068
0,0,0.0,24,37.876819,1256
0,0,0.0,23,35.861449,1196
1,360,360.0,28,44.570787,1480
0,0,0.0,15,23.588813,772
0,0,0.0,19,27.900584,908
0,0,0.0,20,32.19185,1047
0,0,0.0,17,24.529458,821
0,0,0.0,21,33.207796,1099
0,0,0.0,27,39.884756,1314
0,0,0.0,22,33.490053,1124
0,0,0.0,17,25.909322,829
0,0,0.0,16,23.538535,755
0,0,0.0,22,34.195912,1102
0,0,0.0,23,34.80401,1171
0,0,0.0,29,44.496115,1479
0,0,0.0,27,38.739111,1258
0,0,0.0,20,31.780293,1037
0,0,0.0,22,32.497525,1094
0,0,0.0,24,37.341598,1226
0,0,0.0,19,32.739179,1028
0,0,0.0,16,29.116992,888
1,360,360.0,22,39.575666,1287
0,0,0.0,21,32.783573,1075
0,0,0.0,21,33.30933,1096
0,0,0.0,24,35.897932,1181
0,0,0.0,25,38.977329,1287
0,0,0.0,23,37.665427,1249
0,0,0.0,13,20.274952,644
0,0,0.0,19,30.410514,1020
