lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,20,22.87603,735
0,0,0.0,16,17.171125,544
0,0,0.0,21,22.744676,729
0,0,0.0,25,25.974352,839
0,0,0.0,17,20.272071,640
0,0,0.0,18,19.51871,630
0,0,0.0,25,26.735806,864
0,0,0.0,16,17.318307,550
0,0,0.0,22,21.161005,681
0,0,0.0,13,13.305394,423
0,0,0.0,24,23.899403,770
0,0,0.0,16,19.207506,599
0,0,0.0,15,15.731692,530
0,0,0.0,19,20.074232,633
0,0,0.0,20,18.569626,596
0,0,0.0,19,19.632635,626
0,0,0.0,17,18.054441,580
0,0,0.0,18,23.192325,718
0,0,0.0,24,26.267898,851
0,0,0.0,11,13.680201,426
0,0,0.0,15,16.15083,515
0,0,0.0,24,23.622044,760
0,0,0.0,24,26.645576,846
0,0,0.0,20,22.409035,717
0,0,0.0,17,16.667061,542
0,0,0.0,20,20.45812,656
0,0,0.0,19,21.260306,671
0,0,0.0,25,26.351035,847
0,0,0.0,19,20.919186,656
0,0,0.0,22,23.759778,740
