lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,27,26.844913,863
0,0,0.0,24,25.511566,814
0,0,0.0,17,18.750723,593
0,0,0.0,25,27.465143,892
0,0,0.0,26,26.691395,846
0,0,0.0,24,25.433513,810
0,0,0.0,18,19.780785,634
0,0,0.0,20,20.540514,659
0,0,0.0,18,19.495265,629
0,0,0.0,28,28.311544,914
0,0,0.0,21,22.570832,722
0,0,0.0,19,20.442046,654
0,0,0.0,24,26.883071,852
0,0,0.0,20,18.681479,605
0,0,0.0,22,25.69069,811
0,0,0.0,15,15.183232,492
0,0,0.0,24,26.779115,851
0,0,0.0,19,21.348783,677
0,0,0.0,17,17.507744,568
0,0,0.0,18,20.305436,655
0,0,0.0,27,27.113757,884
0,0,0.0,29,29.172077,953
0,0,0.0,19,21.194065,688
0,0,0.0,18,17.802759,582
0,0,0.0,21,22.716148,728
0,0,0.0,26,26.544593,873
0,0,0.0,27,29.79581,956
0,0,0.0,23,25.502663,828
0,0,0.0,19,21.589472,679
0,0,0.0,23,23.551988,764
