lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,23,166.962288,4056
0,0,0.0,19,117.965441,3022
1,160,160.0,25,166.869165,4049
0,0,0.0,23,166.72211,4019
0,0,0.0,22,181.63804,4237
0,0,0.0,26,189.211208,4423
0,0,0.0,16,122.288474,2973
0,0,0.0,24,161.020666,3950
0,0,0.0,23,145.137415,3450
0,0,0.0,20,143.843896,3616
0,0,0.0,19,152.974429,3721
0,0,0.0,19,190.175334,4094
0,0,0.0,22,154.877541,3717
0,0,0.0,25,210.776831,4640
0,0,0.0,18,123.563557,3285
0,0,0.0,20,161.221878,3990
0,0,0.0,24,205.388362,4512
0,0,0.0,16,116.51998,3057
0,0,0.0,23,169.703056,4056
0,0,0.0,19,116.320516,3069
0,0,0.0,27,219.705668,4887
0,0,0.0,24,174.647367,4093
0,0,0.0,24,203.986294,4598
0,0,0.0,19,129.16606,3295
0,0,0.0,21,153.029062,3788
0,0,0.0,22,192.593562,4268
0,0,0.0,18,152.559594,3579
0,0,0.0,26,207.064961,4440
0,0,0.0,29,231.848626,4991
0,0,0.0,14,93.635685,2483
