lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,15,11.278312,362
0,0,0.0,20,15.916494,498
0,0,0.0,21,15.491468,486
0,0,0.0,18,14.052797,448
0,0,0.0,19,15.209769,455
0,0,0.0,21,17.311107,545
0,0,0.0,20,15.659544,498
0,0,0.0,16,12.01525,373
0,0,0.0,22,16.208385,513
0,0,0.0,14,11.077822,356
0,0,0.0,20,15.531277,485
0,0,0.0,23,17.367623,557
0,0,0.0,20,15.038071,469
0,0,0.0,15,10.968637,359
0,0,0.0,20,13.899484,445
0,0,0.0,19,14.033403,443
0,0,0.0,13,9.650713,309
0,0,0.0,14,10.192802,334
0,0,0.0,17,13.477662,416
0,0,0.0,13,8.994742,294
0,0,0.0,19,14.296751,450
0,0,0.0,18,12.112401,387
1,720,720.0,21,16.438298,522
0,0,0.0,12,8.405924,273
0,0,0.0,20,15.99819,502
0,0,0.0,22,15.787665,507
0,0,0.0,16,11.034542,356
0,0,0.0,16,11.146073,363
0,0,0.0,25,18.687693,593
0,0,0.0,23,16.869811,532
