lines,score,rewards,block_placed,episode_time,episode_length
0,0,0.0,17,20.337797,651
0,0,0.0,21,22.578783,804
0,0,0.0,21,25.438741,858
0,0,0.0,20,23.158312,784
0,0,0.0,23,29.272414,956
0,0,0.0,18,22.168573,726
0,0,0.0,20,25.828992,842
0,0,0.0,15,18.355021,603
0,0,0.0,23,29.416782,1004
0,0,0.0,19,24.236918,811
0,0,0.0,16,18.261015,622
0,0,0.0,18,22.083473,725
0,0,0.0,25,29.049877,1004
0,0,0.0,19,24.978309,822
0,0,0.0,21,26.81602,875
0,0,0.0,18,21.53144,726
0,0,0.0,23,29.362494,943
0,0,0.0,20,26.612407,858
0,0,0.0,16,19.90255,667
0,0,0.0,22,27.199916,883
0,0,0.0,22,28.962984,946
0,0,0.0,16,19.503982,652
0,0,0.0,24,26.593744,883
0,0,0.0,29,33.250793,1131
0,0,0.0,18,23.19326,798
0,0,0.0,11,12.141347,403
0,0,0.0,18,20.364599,687
0,0,0.0,25,30.894574,1032
0,0,0.0,19,24.555922,828
0,0,0.0,26,30.320218,978
