lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,12,155.860946,2696
0,0,-25.0,16,216.423373,4540
0,0,-25.0,16,179.907317,4278
0,0,-25.0,13,99.03491,2800
0,0,-24.0,20,222.087688,5436
0,0,-25.0,21,227.82922,5064
0,0,-25.0,22,267.326138,6168
0,0,-25.0,21,202.226599,5017
0,0,-25.0,23,250.656595,5773
0,0,-25.0,14,168.39606,3665
0,0,-25.0,25,277.982888,6625
0,0,-25.0,19,223.597198,5021
0,0,-25.0,21,256.836821,5826
0,0,-25.0,22,215.867495,5288
0,0,-25.0,20,241.599773,5696
0,0,-25.0,15,175.785255,3771
0,0,-25.0,13,123.721982,2943
0,0,-25.0,18,184.757134,4512
0,0,-24.0,15,168.881426,3652
0,0,-25.0,12,144.360033,2980
0,0,-25.0,18,246.264034,5130
0,0,-25.0,12,121.980135,2648
0,0,-25.0,14,160.35887,3381
0,0,-25.0,13,59.796101,2800
0,0,-25.0,15,60.865936,2939
0,0,-25.0,13,54.154594,2705
0,0,-25.0,14,70.243157,3120
0,0,-25.0,12,54.041419,2576
0,0,-25.0,15,73.17078,3272
0,0,-25.0,13,50.462485,2516
0,0,-25.0,13,51.288771,2585
0,0,-25.0,13,53.298909,2705
0,0,-25.0,15,64.020461,2915
0,0,-25.0,12,48.464675,2387
0,0,-25.0,12,51.827198,2552
0,0,-25.0,12,49.991928,2529
0,0,-25.0,14,55.417476,2786
0,0,-25.0,14,59.316708,2714
0,0,-25.0,15,72.848842,3367
0,0,-25.0,14,65.528107,2953
0,0,-25.0,13,49.245604,2444
0,0,-25.0,12,49.442455,2505
0,0,-25.0,17,76.088707,3125
0,0,-25.0,12,57.103505,2720
0,0,-25.0,14,61.000268,2905
0,0,-25.0,12,47.761209,2387
0,0,-25.0,13,54.683967,2753
0,0,-25.0,11,49.810485,2330
0,0,-25.0,13,56.601946,2658
0,0,-25.0,15,60.787444,2796
