lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,26,77.671231,2693
0,0,-25.0,23,61.44285,2340
0,0,-25.0,22,54.386726,2109
0,0,-25.0,27,80.610332,2922
0,0,-25.0,20,59.597323,2213
0,0,-25.0,20,58.614645,2265
0,0,-25.0,30,73.791907,2680
0,0,-25.0,24,74.03099,2594
0,0,-25.0,20,56.813275,2159
0,0,-24.0,22,62.229128,2399
0,0,-25.0,19,64.214352,2202
0,0,-25.0,15,45.073316,1655
0,0,-25.0,24,75.651007,2698
0,0,-25.0,20,60.875113,2229
0,0,-25.0,21,65.355106,2292
0,0,-24.0,21,62.925819,2214
0,0,-24.0,15,50.442542,1760
0,0,-25.0,22,60.972556,2172
0,0,-25.0,18,55.911155,1983
0,0,-25.0,22,63.782712,2240
0,0,-24.0,21,69.30619,2365
0,0,-25.0,23,70.981917,2462
0,0,-24.0,21,67.283378,2313
0,0,-25.0,18,47.944504,1718
0,0,-25.0,25,66.701239,2402
0,0,-25.0,19,50.177628,1790
0,0,-25.0,27,76.412104,2676
0,0,-25.0,22,59.905314,2249
1,280,-15.0,23,73.07055,2602
0,0,-25.0,17,49.771336,1832
0,0,-25.0,23,70.524449,2444
0,0,-24.0,17,53.215558,1912
0,0,-25.0,20,58.030402,2212
0,0,-24.0,27,88.561281,2940
0,0,-25.0,23,71.505913,2495
0,0,-25.0,23,60.880883,2215
0,0,-25.0,25,77.52418,2710
0,0,-25.0,30,90.701847,3039
0,0,-25.0,23,96.677915,2434
0,0,-25.0,22,89.50381,2425
0,0,-25.0,21,75.887886,2249
0,0,-25.0,22,74.523463,2117
0,0,-25.0,19,73.436097,2141
0,0,-25.0,24,84.73121,2515
0,0,-25.0,22,79.773745,2416
0,0,-25.0,23,81.294255,2426
0,0,-25.0,27,95.11477,2622
0,0,-25.0,25,89.334669,2682
0,0,-25.0,24,88.199006,2690
0,0,-25.0,20,66.287229,1950
