lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,24,219.354473,5261
0,0,-25.0,25,212.068654,4876
0,0,-25.0,21,167.286063,4182
0,0,-25.0,18,158.310902,3872
0,0,-25.0,25,211.768526,5046
0,0,-24.0,18,166.290254,4154
0,0,-25.0,20,154.070251,3872
0,0,-25.0,21,173.231311,4145
0,0,-25.0,17,147.002596,3579
0,0,-25.0,25,202.691706,4971
0,0,-25.0,23,202.623237,4821
0,0,-25.0,25,199.746422,4691
0,0,-25.0,18,141.451793,3590
0,0,-25.0,22,205.169602,4885
0,0,-25.0,24,199.009626,4736
0,0,-25.0,18,139.936096,3589
0,0,-25.0,23,196.184768,4746
0,0,-25.0,22,194.985788,4808
0,0,-24.0,20,236.111502,4755
0,0,-25.0,23,227.258599,4765
0,0,-25.0,20,199.3812,4189
0,0,-24.0,18,193.367404,3685
0,0,-25.0,23,223.549882,4485
0,0,-25.0,21,203.397082,4202
0,0,-25.0,24,232.404381,5111
0,0,-25.0,21,185.114877,4126
0,0,-25.0,19,165.213135,3862
0,0,-25.0,25,384.425546,5178
0,0,-25.0,19,220.319549,3976
0,0,-24.0,19,192.325818,4087
0,0,-25.0,18,174.416468,3739
0,0,-25.0,26,238.529332,5639
0,0,-25.0,22,197.075832,4698
0,0,-25.0,22,176.916097,4419
0,0,-24.0,20,167.919303,4266
0,0,-25.0,21,194.316688,4839
0,0,-25.0,23,197.685603,4934
0,0,-24.0,23,215.825907,5140
0,0,-25.0,25,209.527375,5253
0,0,-25.0,19,133.602703,3542
0,0,-25.0,23,209.458468,5099
0,0,-25.0,23,173.862983,4389
0,0,-25.0,19,173.67767,4294
0,0,-25.0,20,154.153151,3930
0,0,-24.0,19,150.540001,3881
0,0,-25.0,22,187.715566,4717
0,0,-25.0,23,269.281725,4876
0,0,-25.0,16,174.998793,3175
0,0,-25.0,21,370.952608,4670
0,0,-24.0,19,638.060478,4274
