lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,21,189.551206,4642
0,0,-25.0,24,222.187763,5524
0,0,-25.0,19,168.338084,4263
0,0,-25.0,25,218.401867,5552
0,0,-25.0,22,239.67637,5717
0,0,-25.0,19,213.388686,5006
0,0,-25.0,23,240.113131,5151
0,0,-24.0,18,218.346206,4954
0,0,-25.0,19,184.982658,4264
0,0,-25.0,18,212.263433,4846
0,0,-25.0,20,176.549391,4464
0,0,-25.0,21,209.054017,5024
0,0,-25.0,18,152.996093,3954
1,80,-15.0,22,251.836842,5854
0,0,-25.0,25,218.757355,5341
0,0,-25.0,17,185.571746,4265
0,0,-25.0,12,75.114666,2150
0,0,-25.0,12,110.054524,2556
0,0,-25.0,21,214.336972,5111
0,0,-25.0,22,232.239092,5523
0,0,-25.0,20,175.117512,4314
0,0,-25.0,17,197.814879,4538
0,0,-25.0,30,258.177227,6092
0,0,-25.0,26,246.296474,5968
0,0,-25.0,22,223.412022,5353
0,0,-25.0,19,176.742982,4239
0,0,-25.0,22,217.752364,5034
0,0,-25.0,22,217.255859,5312
0,0,-25.0,20,202.160469,4676
0,0,-25.0,20,212.464925,4887
0,0,-25.0,21,189.469412,4790
0,0,-25.0,16,162.780275,3637
0,0,-25.0,23,231.492303,5554
0,0,-25.0,19,205.286286,4815
0,0,-25.0,16,184.755834,4317
0,0,-25.0,20,192.938093,4760
0,0,-25.0,22,202.100714,4905
0,0,-25.0,20,204.081297,4762
0,0,-25.0,23,181.174666,4536
0,0,-25.0,25,226.71279,5468
0,0,-25.0,18,155.546102,3870
0,0,-25.0,19,205.646423,4282
0,0,-24.0,19,175.084584,4179
0,0,-25.0,16,177.560749,3657
0,0,-25.0,19,267.122821,4581
0,0,-25.0,22,223.987081,5181
0,0,-25.0,19,167.679496,4113
0,0,-25.0,23,218.077436,5238
0,0,-25.0,16,139.388266,3530
0,0,-24.0,17,202.255128,4519
