lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,22,87.270144,1217
0,0,-25.0,22,82.400608,1137
0,0,-25.0,20,76.787973,1003
0,0,-24.0,10,36.316969,480
0,0,-25.0,12,47.625691,638
0,0,-25.0,22,77.947359,1140
0,0,-25.0,12,42.092587,556
0,0,-25.0,19,73.713276,1053
0,0,-25.0,20,76.864115,1079
0,0,-25.0,18,75.522708,1029
0,0,-24.0,14,64.054353,822
0,0,-25.0,16,62.655983,870
0,0,-25.0,20,79.957694,1076
0,0,-25.0,18,71.418624,1003
0,0,-25.0,17,58.115556,834
0,0,-25.0,23,89.917444,1279
0,0,-25.0,16,73.498907,891
0,0,-25.0,17,74.098456,929
0,0,-25.0,15,69.473079,850
0,0,-25.0,24,87.554435,1198
0,0,-25.0,29,114.179977,1491
0,0,-25.0,13,51.351079,685
0,0,-25.0,21,79.214853,1125
0,0,-25.0,14,50.219978,707
0,0,-25.0,15,68.257793,811
0,0,-25.0,26,99.42613,1353
0,0,-25.0,20,91.887805,1074
0,0,-25.0,17,63.121388,864
0,0,-25.0,17,67.144371,943
0,0,-25.0,21,87.738672,1153
0,0,-25.0,11,43.419031,537
0,0,-24.0,19,78.078805,984
0,0,-25.0,24,97.139627,1220
0,0,-25.0,21,81.234142,1119
0,0,-25.0,24,112.969097,1321
0,0,-25.0,17,87.353663,951
0,0,-25.0,15,61.787753,763
0,0,-25.0,15,63.33642,769
0,0,-25.0,16,57.614303,785
0,0,-25.0,14,62.334428,744
0,0,-25.0,21,91.135244,1143
0,0,-25.0,27,105.594779,1407
0,0,-24.0,18,81.98884,999
1,360,-15.0,33,141.902615,1701
0,0,-25.0,15,63.065395,789
0,0,-24.0,23,94.81793,1200
0,0,-25.0,25,103.131939,1243
0,0,-25.0,15,68.606902,766
0,0,-25.0,14,64.003333,662
0,0,-25.0,29,128.104979,1473
