lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,28,167.257916,4507
0,0,-25.0,19,116.809148,3139
0,0,-25.0,21,119.30161,3255
0,0,-25.0,21,109.006916,3159
0,0,-25.0,23,138.329797,3607
0,0,-25.0,20,114.983366,3177
0,0,-25.0,30,178.593873,4695
0,0,-25.0,18,87.01176,2621
0,0,-25.0,18,89.34543,2620
0,0,-25.0,14,60.882092,1768
0,0,-25.0,28,198.346601,4165
0,0,-25.0,16,94.986052,2407
0,0,-25.0,25,163.736685,3913
0,0,-25.0,14,87.848204,2250
0,0,-25.0,14,82.795361,1935
0,0,-25.0,18,91.495516,2510
0,0,-25.0,25,139.843742,3667
0,0,-24.0,15,105.684718,2618
0,0,-25.0,20,124.010618,3218
0,0,-25.0,25,169.599348,4110
0,0,-25.0,23,137.643395,3592
0,0,-25.0,24,156.886867,3795
0,0,-25.0,18,112.563599,3007
0,0,-25.0,23,189.177296,3756
1,200,-15.0,26,217.461573,4290
0,0,-25.0,21,150.688524,3285
0,0,-25.0,15,115.225612,2356
0,0,-25.0,21,156.380064,3324
0,0,-25.0,22,187.851735,3527
0,0,-24.0,20,147.618237,3521
0,0,-25.0,29,185.759038,4354
0,0,-25.0,18,112.521001,2868
0,0,-25.0,22,135.465087,3404
0,0,-25.0,22,132.366595,3335
0,0,-25.0,13,37.577239,1718
0,0,-25.0,13,30.41382,1512
0,0,-25.0,12,32.731955,1626
0,0,-25.0,12,35.14144,1502
0,0,-25.0,13,30.998384,1676
0,0,-25.0,13,29.997598,1636
0,0,-25.0,14,33.377893,1783
0,0,-25.0,12,27.974466,1515
0,0,-25.0,12,26.488506,1461
0,0,-25.0,14,31.573791,1742
0,0,-25.0,15,30.322878,1669
0,0,-25.0,17,37.556295,2060
0,0,-25.0,13,29.925552,1663
0,0,-25.0,14,32.483387,1728
0,0,-25.0,14,31.006123,1700
0,0,-25.0,15,32.8574,1710
