lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,18,47.356219,1277
0,0,-25.0,19,54.564764,1519
0,0,-25.0,13,38.208098,990
0,0,-25.0,14,40.509003,1055
0,0,-25.0,17,50.46486,1416
0,0,-25.0,15,39.252796,1136
0,0,-25.0,16,45.180958,1259
0,0,-24.0,18,48.357564,1416
0,0,-24.0,14,41.863204,1204
0,0,-25.0,22,60.886364,1774
0,0,-24.0,19,55.872564,1531
0,0,-25.0,25,65.868418,1960
0,0,-25.0,18,47.042591,1283
0,0,-25.0,22,56.407379,1679
0,0,-25.0,20,52.164049,1509
0,0,-25.0,19,51.932139,1587
0,0,-25.0,23,59.774968,1728
0,0,-25.0,17,46.696824,1318
0,0,-25.0,17,47.910563,1331
0,0,-24.0,16,48.669044,1438
0,0,-24.0,19,52.261522,1550
0,0,-24.0,13,38.062927,1079
0,0,-25.0,15,40.91623,1247
0,0,-25.0,21,57.6035,1737
0,0,-25.0,21,54.941931,1658
0,0,-25.0,20,53.094836,1610
0,0,-25.0,22,53.931349,1667
0,0,-25.0,19,50.845094,1450
0,0,-25.0,16,45.233672,1301
0,0,-25.0,13,33.196066,946
0,0,-25.0,16,45.068008,1288
0,0,-25.0,25,65.138607,1953
0,0,-25.0,24,58.12195,1781
0,0,-25.0,23,60.322458,1815
0,0,-25.0,13,38.152104,965
0,0,-25.0,17,44.619292,1273
0,0,-25.0,19,54.192857,1639
0,0,-25.0,14,42.850384,1195
0,0,-25.0,23,54.575371,1701
0,0,-25.0,17,48.269217,1455
0,0,-24.0,16,47.86076,1345
0,0,-24.0,19,51.114013,1531
0,0,-25.0,19,47.363371,1450
0,0,-24.0,14,42.829025,1193
0,0,-25.0,27,70.29593,2056
0,0,-24.0,16,46.797171,1233
0,0,-25.0,14,104.558408,1080
0,0,-25.0,14,85.073114,1105
0,0,-25.0,17,94.719547,1231
0,0,-25.0,23,141.308948,1829
