lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,21,40.070183,860
0,0,-25.0,17,29.379768,690
0,0,-25.0,13,23.232359,552
0,0,-25.0,20,35.479149,837
0,0,-25.0,14,23.589075,587
0,0,-25.0,17,49.458277,761
0,0,-25.0,11,47.940787,425
0,0,-25.0,20,42.516647,901
0,0,-24.0,16,29.747065,709
0,0,-25.0,16,31.576042,733
0,0,-24.0,14,30.403359,629
0,0,-25.0,18,47.305839,774
0,0,-25.0,15,38.761296,689
0,0,-25.0,22,46.227645,902
0,0,-25.0,12,24.727328,493
0,0,-25.0,18,42.970145,826
0,0,-24.0,20,42.420197,830
0,0,-24.0,15,32.103442,689
0,0,-25.0,12,23.219573,499
0,0,-25.0,24,50.652161,998
0,0,-25.0,24,55.586434,1035
0,0,-25.0,13,29.393238,583
0,0,-25.0,14,27.498256,579
0,0,-25.0,14,28.531173,584
0,0,-25.0,14,29.802115,605
0,0,-25.0,23,48.175057,922
0,0,-24.0,19,40.100901,784
0,0,-25.0,19,52.783047,885
0,0,-25.0,18,36.409831,759
0,0,-25.0,15,33.362077,672
0,0,-25.0,20,42.658512,879
0,0,-25.0,18,48.874268,818
0,0,-25.0,17,42.929309,772
0,0,-25.0,22,55.512917,868
0,0,-24.0,21,81.012738,908
0,0,-25.0,14,32.407512,567
0,0,-25.0,23,63.10544,1028
0,0,-25.0,22,61.824363,911
0,0,-25.0,11,33.033445,455
0,0,-25.0,13,32.137834,470
0,0,-25.0,18,55.310985,837
0,0,-25.0,17,40.032485,739
0,0,-25.0,13,30.248187,582
0,0,-25.0,18,43.442267,789
0,0,-25.0,23,59.429981,1003
0,0,-25.0,19,48.8637,841
0,0,-25.0,14,38.654035,629
0,0,-25.0,12,34.361785,531
0,0,-25.0,21,49.741709,829
0,0,-24.0,19,50.428404,830
