lines,score,rewards,block_placed,episode_time,episode_length
0,0,-25.0,19,64.755736,785
0,0,-25.0,12,40.823961,490
0,0,-24.0,18,62.91815,799
0,0,-25.0,12,39.524851,472
0,0,-25.0,18,60.355283,776
0,0,-24.0,15,53.919732,670
0,0,-25.0,13,46.694763,575
0,0,-25.0,21,77.312988,933
0,0,-25.0,19,66.766757,821
0,0,-25.0,10,41.996614,387
0,0,-25.0,24,87.299332,981
0,0,-25.0,18,64.202648,744
0,0,-25.0,18,68.166181,791
0,0,-25.0,16,59.540828,726
0,0,-25.0,20,66.638025,895
0,0,-24.0,18,54.214668,763
0,0,-25.0,16,49.166855,668
0,0,-25.0,14,44.853702,587
0,0,-24.0,16,52.515729,709
0,0,-25.0,18,76.005404,765
0,0,-25.0,13,44.447306,528
0,0,-25.0,22,69.664174,928
0,0,-25.0,16,62.040969,697
0,0,-24.0,17,61.282545,757
0,0,-25.0,17,62.304609,703
0,0,-25.0,19,70.063039,821
0,0,-24.0,20,72.84365,879
0,0,-25.0,25,82.785703,1024
0,0,-25.0,18,57.791084,748
0,0,-25.0,19,62.424409,780
0,0,-24.0,18,59.198596,818
0,0,-25.0,18,55.26693,754
0,0,-25.0,22,66.579744,912
0,0,-25.0,16,48.433237,647
0,0,-24.0,18,61.998138,746
0,0,-24.0,14,54.749735,650
0,0,-25.0,18,63.025999,812
0,0,-25.0,15,54.250792,670
0,0,-25.0,14,47.677717,571
0,0,-25.0,21,74.821211,920
0,0,-24.0,19,60.258551,770
0,0,-25.0,17,53.270098,713
0,0,-25.0,17,60.527613,784
0,0,-25.0,19,63.59605,821
0,0,-25.0,25,80.782059,1016
0,0,-25.0,15,49.848222,662
0,0,-25.0,13,46.019562,583
0,0,-25.0,22,67.339741,898
0,0,-25.0,19,70.469904,843
0,0,-25.0,21,87.893761,922
